Date,Open,High,Low,Close,Volume,Adj Close
2013-05-13,13200.00,13950.00,13200.00,13950.00,276100,13950.00
2013-05-10,13850.00,13900.00,13150.00,13200.00,179100,13200.00
2013-05-09,13650.00,14000.00,13400.00,13700.00,350200,13700.00
2013-05-08,13300.00,14050.00,13250.00,13800.00,682300,13800.00
2013-05-07,13000.00,13450.00,12750.00,13050.00,582400,13050.00
2013-05-06,12300.00,13250.00,12200.00,13050.00,750600,13050.00
2013-05-03,11950.00,12250.00,11600.00,12100.00,293300,12100.00
2013-05-02,11950.00,12250.00,11800.00,11850.00,268600,11850.00
2013-05-01,11950.00,11950.00,11950.00,11950.00,000,11950.00
2013-04-30,12150.00,12350.00,11700.00,11950.00,369400,11950.00
2013-04-29,11350.00,12200.00,11350.00,12200.00,687500,12200.00
2013-04-26,11500.00,11650.00,11200.00,11350.00,1746900,11350.00
2013-04-25,11350.00,11600.00,11350.00,11350.00,176600,11350.00
2013-04-24,11200.00,11450.00,11100.00,11250.00,181200,11250.00
2013-04-23,11400.00,11500.00,11100.00,11100.00,126800,11100.00
2013-04-22,11050.00,11300.00,10950.00,11300.00,91100,11300.00
2013-04-19,11150.00,11300.00,10950.00,11050.00,95700,11050.00
2013-04-18,11350.00,11600.00,11100.00,11150.00,129000,11150.00
2013-04-17,11400.00,11550.00,11200.00,11350.00,125200,11350.00
2013-04-16,11100.00,11350.00,10750.00,11350.00,290300,11350.00
2013-04-15,11450.00,12100.00,11050.00,11350.00,435400,11350.00
2013-04-12,11650.00,11700.00,11350.00,11350.00,162500,11350.00
2013-04-11,11650.00,11700.00,11300.00,11550.00,138100,11550.00
2013-04-10,11750.00,11850.00,11550.00,11650.00,79800,11650.00
2013-04-09,11450.00,11800.00,10850.00,11750.00,246200,11750.00
2013-04-08,11700.00,11950.00,11450.00,11600.00,209500,11600.00
2013-04-05,11500.00,11850.00,11200.00,11600.00,232700,11600.00
2013-04-04,11050.00,11550.00,10400.00,11500.00,296100,11500.00
2013-04-03,11050.00,11200.00,10850.00,11050.00,135500,11050.00
2013-04-02,10700.00,11100.00,10600.00,11000.00,173900,11000.00
2013-04-01,10950.00,10950.00,10700.00,10800.00,73900,10800.00
2013-03-29,10750.00,11050.00,10700.00,10800.00,109700,10800.00
2013-03-28,10950.00,10950.00,10650.00,10650.00,140100,10650.00
2013-03-27,10850.00,10850.00,10650.00,10800.00,119400,10800.00
2013-03-26,10900.00,11100.00,10750.00,10850.00,95700,10850.00
2013-03-25,11000.00,11100.00,10750.00,11000.00,231800,11000.00
2013-03-22,10800.00,11000.00,10600.00,10950.00,177100,10950.00
2013-03-21,11000.00,11050.00,10400.00,10800.00,232400,10800.00
2013-03-20,11050.00,11200.00,10750.00,11000.00,163400,11000.00
2013-03-19,11000.00,11250.00,10800.00,11150.00,197100,11150.00
2013-03-18,11200.00,11400.00,10850.00,11000.00,359200,11000.00
2013-03-15,10300.00,10800.00,10000.00,10800.00,292900,10800.00
2013-03-14,10150.00,10300.00,9920.00,10300.00,247700,10300.00
2013-03-13,10150.00,10300.00,10050.00,10150.00,71500,10150.00
2013-03-12,10150.00,10300.00,10100.00,10150.00,67200,10150.00
2013-03-11,10350.00,10400.00,9960.00,10150.00,157000,10150.00
2013-03-08,10300.00,10450.00,10150.00,10350.00,61400,10350.00
2013-03-07,10550.00,10550.00,10250.00,10300.00,66500,10300.00
2013-03-06,10650.00,10700.00,10300.00,10550.00,135400,10550.00
2013-03-05,10100.00,10800.00,10050.00,10650.00,342900,10650.00
2013-03-04,10150.00,10300.00,9980.00,10050.00,149300,10050.00
2013-03-01,10300.00,10300.00,10300.00,10300.00,000,10300.00
2013-02-28,10150.00,10400.00,10100.00,10300.00,146000,10300.00
2013-02-27,9740.00,10600.00,9700.00,10100.00,277200,10100.00
2013-02-26,9630.00,9930.00,9590.00,9740.00,166700,9740.00
2013-02-25,9780.00,9790.00,9600.00,9710.00,111800,9710.00
2013-02-22,9660.00,9800.00,9460.00,9600.00,1467800,9600.00
2013-02-21,10150.00,10200.00,9720.00,9720.00,321800,9720.00
2013-02-20,10200.00,10550.00,9980.00,10300.00,256700,10300.00
2013-02-19,10150.00,10300.00,9960.00,10200.00,155200,10200.00
2013-02-18,10200.00,10500.00,9910.00,10150.00,144900,10150.00
2013-02-15,9800.00,10300.00,9800.00,10200.00,101300,10200.00
